,water_usage_l,timestamp
0,0.0,2022-05-01T00:00:00
1,0.0,2022-05-01T00:15:00
2,0.0,2022-05-01T00:30:00
3,0.0,2022-05-01T00:45:00
4,0.0,2022-05-01T01:00:00
5,0.0,2022-05-01T01:15:00
6,0.0,2022-05-01T01:30:00
7,0.0,2022-05-01T01:45:00
8,0.0,2022-05-01T02:00:00
9,0.0,2022-05-01T02:15:00
10,0.0,2022-05-01T02:30:00
11,0.0,2022-05-01T02:45:00
12,0.0,2022-05-01T03:00:00
13,0.0,2022-05-01T03:15:00
14,0.0,2022-05-01T03:30:00
15,0.0,2022-05-01T03:45:00
16,0.0,2022-05-01T04:00:00
17,0.0,2022-05-01T04:15:00
18,0.0,2022-05-01T04:30:00
19,0.0,2022-05-01T04:45:00
20,0.0,2022-05-01T05:00:00
21,0.0,2022-05-01T05:15:00
22,0.0,2022-05-01T05:30:00
23,0.0,2022-05-01T05:45:00
24,0.0,2022-05-01T06:00:00
25,0.0,2022-05-01T06:15:00
26,0.0,2022-05-01T06:30:00
27,0.0,2022-05-01T06:45:00
28,0.0,2022-05-01T07:00:00
29,0.0,2022-05-01T07:15:00
30,0.0,2022-05-01T07:30:00
31,0.0,2022-05-01T07:45:00
32,0.0,2022-05-01T08:00:00
33,0.0,2022-05-01T08:15:00
34,0.0,2022-05-01T08:30:00
35,0.0,2022-05-01T08:45:00
36,0.0,2022-05-01T09:00:00
37,0.0,2022-05-01T09:15:00
38,0.0,2022-05-01T09:30:00
39,0.0,2022-05-01T09:45:00
40,0.0,2022-05-01T10:00:00
41,0.0,2022-05-01T10:15:00
42,0.0,2022-05-01T10:30:00
43,0.0,2022-05-01T10:45:00
44,0.0,2022-05-01T11:00:00
45,0.0,2022-05-01T11:15:00
46,0.0,2022-05-01T11:30:00
47,0.0,2022-05-01T11:45:00
48,0.0,2022-05-01T12:00:00
49,0.0,2022-05-01T12:15:00
50,0.0,2022-05-01T12:30:00
51,0.0,2022-05-01T12:45:00
52,0.0,2022-05-01T13:00:00
53,0.0,2022-05-01T13:15:00
54,0.0,2022-05-01T13:30:00
55,0.0,2022-05-01T13:45:00
56,0.0,2022-05-01T14:00:00
57,0.0,2022-05-01T14:15:00
58,0.0,2022-05-01T14:30:00
59,0.0,2022-05-01T14:45:00
60,0.0,2022-05-01T15:00:00
61,0.0,2022-05-01T15:15:00
62,0.0,2022-05-01T15:30:00
63,0.0,2022-05-01T15:45:00
64,0.0,2022-05-01T16:00:00
65,0.0,2022-05-01T16:15:00
66,0.0,2022-05-01T16:30:00
67,0.0,2022-05-01T16:45:00
68,0.0,2022-05-01T17:00:00
69,0.0,2022-05-01T17:15:00
70,0.0,2022-05-01T17:30:00
71,0.0,2022-05-01T17:45:00
72,0.0,2022-05-01T18:00:00
73,0.0,2022-05-01T18:15:00
74,0.0,2022-05-01T18:30:00
75,0.0,2022-05-01T18:45:00
76,0.0,2022-05-01T19:00:00
77,0.0,2022-05-01T19:15:00
78,0.0,2022-05-01T19:30:00
79,0.0,2022-05-01T19:45:00
80,0.0,2022-05-01T20:00:00
81,0.0,2022-05-01T20:15:00
82,0.0,2022-05-01T20:30:00
83,0.0,2022-05-01T20:45:00
84,0.0,2022-05-01T21:00:00
85,0.0,2022-05-01T21:15:00
86,0.0,2022-05-01T21:30:00
87,0.0,2022-05-01T21:45:00
88,0.0,2022-05-01T22:00:00
89,0.0,2022-05-01T22:15:00
90,0.0,2022-05-01T22:30:00
91,0.0,2022-05-01T22:45:00
92,0.0,2022-05-01T23:00:00
93,0.0,2022-05-01T23:15:00
94,0.0,2022-05-01T23:30:00
95,0.0,2022-05-01T23:45:00
96,0.0,2022-05-02T00:00:00
97,0.0,2022-05-02T00:15:00
98,0.0,2022-05-02T00:30:00
99,0.0,2022-05-02T00:45:00
100,0.0,2022-05-02T01:00:00
101,0.0,2022-05-02T01:15:00
102,0.0,2022-05-02T01:30:00
103,0.0,2022-05-02T01:45:00
104,0.0,2022-05-02T02:00:00
105,0.0,2022-05-02T02:15:00
106,0.0,2022-05-02T02:30:00
107,0.0,2022-05-02T02:45:00
108,0.0,2022-05-02T03:00:00
109,0.0,2022-05-02T03:15:00
110,0.0,2022-05-02T03:30:00
111,0.0,2022-05-02T03:45:00
112,0.0,2022-05-02T04:00:00
113,0.0,2022-05-02T04:15:00
114,0.0,2022-05-02T04:30:00
115,0.0,2022-05-02T04:45:00
116,0.0,2022-05-02T05:00:00
117,0.0,2022-05-02T05:15:00
118,0.0,2022-05-02T05:30:00
119,0.0,2022-05-02T05:45:00
120,0.0,2022-05-02T06:00:00
121,0.0,2022-05-02T06:15:00
122,0.0,2022-05-02T06:30:00
123,0.0,2022-05-02T06:45:00
124,0.0,2022-05-02T07:00:00
125,0.0,2022-05-02T07:15:00
126,0.0,2022-05-02T07:30:00
127,0.0,2022-05-02T07:45:00
128,0.0,2022-05-02T08:00:00
129,0.0,2022-05-02T08:15:00
130,0.0,2022-05-02T08:30:00
131,0.0,2022-05-02T08:45:00
132,0.0,2022-05-02T09:00:00
133,0.0,2022-05-02T09:15:00
134,0.0,2022-05-02T09:30:00
135,0.0,2022-05-02T09:45:00
136,0.0,2022-05-02T10:00:00
137,0.0,2022-05-02T10:15:00
138,0.0,2022-05-02T10:30:00
139,0.0,2022-05-02T10:45:00
140,0.0,2022-05-02T11:00:00
141,0.0,2022-05-02T11:15:00
142,0.0,2022-05-02T11:30:00
143,0.0,2022-05-02T11:45:00
144,0.0,2022-05-02T12:00:00
145,0.0,2022-05-02T12:15:00
146,0.0,2022-05-02T12:30:00
147,0.0,2022-05-02T12:45:00
148,0.0,2022-05-02T13:00:00
149,0.0,2022-05-02T13:15:00
150,0.0,2022-05-02T13:30:00
151,0.0,2022-05-02T13:45:00
152,0.0,2022-05-02T14:00:00
153,0.0,2022-05-02T14:15:00
154,0.0,2022-05-02T14:30:00
155,0.0,2022-05-02T14:45:00
156,0.0,2022-05-02T15:00:00
157,0.0,2022-05-02T15:15:00
158,0.0,2022-05-02T15:30:00
159,0.0,2022-05-02T15:45:00
160,0.0,2022-05-02T16:00:00
161,0.0,2022-05-02T16:15:00
162,0.0,2022-05-02T16:30:00
163,0.0,2022-05-02T16:45:00
164,0.0,2022-05-02T17:00:00
165,0.0,2022-05-02T17:15:00
166,0.0,2022-05-02T17:30:00
167,0.0,2022-05-02T17:45:00
168,0.0,2022-05-02T18:00:00
169,0.0,2022-05-02T18:15:00
170,0.0,2022-05-02T18:30:00
171,0.0,2022-05-02T18:45:00
172,0.0,2022-05-02T19:00:00
173,0.0,2022-05-02T19:15:00
174,0.0,2022-05-02T19:30:00
175,0.0,2022-05-02T19:45:00
176,0.0,2022-05-02T20:00:00
177,0.0,2022-05-02T20:15:00
178,0.0,2022-05-02T20:30:00
179,0.0,2022-05-02T20:45:00
180,0.0,2022-05-02T21:00:00
181,0.0,2022-05-02T21:15:00
182,0.0,2022-05-02T21:30:00
183,0.0,2022-05-02T21:45:00
184,0.0,2022-05-02T22:00:00
185,0.0,2022-05-02T22:15:00
186,0.0,2022-05-02T22:30:00
187,0.0,2022-05-02T22:45:00
188,0.0,2022-05-02T23:00:00
189,0.0,2022-05-02T23:15:00
190,0.0,2022-05-02T23:30:00
191,0.0,2022-05-02T23:45:00
192,0.0,2022-05-03T00:00:00
193,0.0,2022-05-03T00:15:00
194,0.0,2022-05-03T00:30:00
195,0.0,2022-05-03T00:45:00
196,0.0,2022-05-03T01:00:00
197,0.0,2022-05-03T01:15:00
198,0.0,2022-05-03T01:30:00
199,0.0,2022-05-03T01:45:00
200,0.0,2022-05-03T02:00:00
201,0.0,2022-05-03T02:15:00
202,0.0,2022-05-03T02:30:00
203,0.0,2022-05-03T02:45:00
204,0.0,2022-05-03T03:00:00
205,0.0,2022-05-03T03:15:00
206,0.0,2022-05-03T03:30:00
207,0.0,2022-05-03T03:45:00
208,0.0,2022-05-03T04:00:00
209,0.0,2022-05-03T04:15:00
210,0.0,2022-05-03T04:30:00
211,0.0,2022-05-03T04:45:00
212,0.0,2022-05-03T05:00:00
213,0.0,2022-05-03T05:15:00
214,0.0,2022-05-03T05:30:00
215,0.0,2022-05-03T05:45:00
216,0.0,2022-05-03T06:00:00
217,0.0,2022-05-03T06:15:00
218,0.0,2022-05-03T06:30:00
219,0.0,2022-05-03T06:45:00
220,0.0,2022-05-03T07:00:00
221,0.0,2022-05-03T07:15:00
222,0.0,2022-05-03T07:30:00
223,0.0,2022-05-03T07:45:00
224,0.0,2022-05-03T08:00:00
225,0.0,2022-05-03T08:15:00
226,0.0,2022-05-03T08:30:00
227,0.0,2022-05-03T08:45:00
228,0.0,2022-05-03T09:00:00
229,0.0,2022-05-03T09:15:00
230,0.0,2022-05-03T09:30:00
231,0.0,2022-05-03T09:45:00
232,0.0,2022-05-03T10:00:00
233,0.0,2022-05-03T10:15:00
234,0.0,2022-05-03T10:30:00
235,0.0,2022-05-03T10:45:00
236,0.0,2022-05-03T11:00:00
237,0.0,2022-05-03T11:15:00
238,0.0,2022-05-03T11:30:00
239,0.0,2022-05-03T11:45:00
240,0.0,2022-05-03T12:00:00
241,0.0,2022-05-03T12:15:00
242,0.0,2022-05-03T12:30:00
243,0.0,2022-05-03T12:45:00
244,0.0,2022-05-03T13:00:00
245,0.0,2022-05-03T13:15:00
246,0.0,2022-05-03T13:30:00
247,0.0,2022-05-03T13:45:00
248,0.0,2022-05-03T14:00:00
249,0.0,2022-05-03T14:15:00
250,0.0,2022-05-03T14:30:00
251,0.0,2022-05-03T14:45:00
252,0.0,2022-05-03T15:00:00
253,0.0,2022-05-03T15:15:00
254,0.0,2022-05-03T15:30:00
