usage_kwh,is_scheduled_occupied,is_scheduled_workday,max_temp_f,max_temp_c,humidity
6.328125,False,Working,22.0,-6.0,86.0
3.328125,False,Working,22.0,-6.0,86.0
6.390625,False,Working,22.0,-6.0,86.0
3.4375,False,Working,22.0,-6.0,86.0
6.53125,False,Working,21.0,-6.0,86.0
3.265625,False,Working,21.0,-6.0,86.0
6.328125,False,Working,21.0,-6.0,86.0
3.375,False,Working,21.0,-6.0,86.0
6.265625,False,Working,20.0,-6.0,86.0
3.625,False,Working,20.0,-6.0,86.0
6.203125,False,Working,20.0,-6.0,86.0
3.515625,False,Working,20.0,-6.0,86.0
6.328125,False,Working,20.0,-7.0,80.0
3.375,False,Working,20.0,-7.0,80.0
6.25,False,Working,20.0,-7.0,80.0
3.6875,False,Working,20.0,-7.0,80.0
6.28125,False,Working,19.0,-7.0,86.0
3.3125,False,Working,19.0,-7.0,86.0
6.453125,False,Working,19.0,-7.0,86.0
3.34375,False,Working,19.0,-7.0,86.0
6.328125,False,Working,18.0,-8.0,80.0
3.578125,False,Working,18.0,-8.0,80.0
6.21875,False,Working,18.0,-8.0,80.0
3.546875,False,Working,18.0,-8.0,80.0
6.453125,False,Working,18.0,-8.0,86.0
3.421875,False,Working,18.0,-8.0,86.0
6.28125,False,Working,18.0,-8.0,86.0
3.453125,False,Working,18.0,-8.0,86.0
6.59375,False,Working,17.0,-8.0,86.0
3.390625,False,Working,17.0,-8.0,86.0
6.65625,False,Working,17.0,-8.0,86.0
3.109375,False,Working,17.0,-8.0,86.0
5.015625,False,Working,17.0,-8.0,86.0
2.484375,False,Working,17.0,-8.0,86.0
4.796875,False,Working,17.0,-8.0,86.0
2.828125,False,Working,17.0,-8.0,86.0
4.859375,True,Working,19.0,-7.0,80.0
2.578125,True,Working,19.0,-7.0,80.0
4.75,True,Working,19.0,-7.0,80.0
2.75,True,Working,19.0,-7.0,80.0
4.859375,True,Working,23.0,-5.0,80.0
2.75,True,Working,23.0,-5.0,80.0
4.875,True,Working,23.0,-5.0,80.0
2.5,True,Working,23.0,-5.0,80.0
4.984375,True,Working,26.0,-3.0,80.0
2.8125,True,Working,26.0,-3.0,80.0
4.6875,True,Working,26.0,-3.0,80.0
2.890625,True,Working,26.0,-3.0,80.0
5.0,True,Working,28.0,-2.0,80.0
2.625,True,Working,28.0,-2.0,80.0
4.84375,True,Working,28.0,-2.0,80.0
3.015625,True,Working,28.0,-2.0,80.0
4.703125,True,Working,30.0,-1.0,80.0
2.734375,True,Working,30.0,-1.0,80.0
5.015625,True,Working,30.0,-1.0,80.0
2.71875,True,Working,30.0,-1.0,80.0
5.0625,True,Working,31.0,0.0,80.0
2.90625,True,Working,31.0,0.0,80.0
5.0,True,Working,31.0,0.0,80.0
2.671875,True,Working,31.0,0.0,80.0
4.953125,True,Working,31.0,0.0,74.0
2.546875,True,Working,31.0,0.0,74.0
4.796875,True,Working,31.0,0.0,74.0
2.796875,True,Working,31.0,0.0,74.0
6.515625,True,Working,30.0,-1.0,79.0
3.734375,True,Working,30.0,-1.0,79.0
6.875,True,Working,30.0,-1.0,79.0
3.421875,True,Working,30.0,-1.0,79.0
6.640625,True,Working,28.0,-2.0,79.0
3.484375,True,Working,28.0,-2.0,79.0
6.5625,True,Working,28.0,-2.0,79.0
3.5,True,Working,28.0,-2.0,79.0
6.453125,True,Working,26.0,-3.0,73.0
3.453125,True,Working,26.0,-3.0,73.0
6.5625,True,Working,26.0,-3.0,73.0
3.53125,True,Working,26.0,-3.0,73.0
6.390625,False,Working,25.0,-4.0,79.0
3.75,False,Working,25.0,-4.0,79.0
6.390625,False,Working,25.0,-4.0,79.0
3.625,False,Working,25.0,-4.0,79.0
6.515625,False,Working,24.0,-4.0,79.0
3.390625,False,Working,24.0,-4.0,79.0
6.765625,False,Working,24.0,-4.0,79.0
3.640625,False,Working,24.0,-4.0,79.0
6.5,False,Working,23.0,-5.0,79.0
3.765625,False,Working,23.0,-5.0,79.0
6.9375,False,Working,23.0,-5.0,79.0
3.390625,False,Working,23.0,-5.0,79.0
6.578125,False,Working,23.0,-5.0,79.0
3.75,False,Working,23.0,-5.0,79.0
6.453125,False,Working,23.0,-5.0,79.0
3.5625,False,Working,23.0,-5.0,79.0
6.59375,False,Working,22.0,-5.0,73.0
3.515625,False,Working,22.0,-5.0,73.0
6.828125,False,Working,22.0,-5.0,73.0
3.4375,False,Working,22.0,-5.0,73.0
6.578125,False,NonWork,21.0,-6.0,79.0
3.84375,False,NonWork,21.0,-6.0,79.0
6.453125,False,NonWork,21.0,-6.0,79.0
3.703125,False,NonWork,21.0,-6.0,79.0
6.453125,False,NonWork,21.0,-6.0,79.0
3.375,False,NonWork,21.0,-6.0,79.0
6.78125,False,NonWork,21.0,-6.0,79.0
3.578125,False,NonWork,21.0,-6.0,79.0
6.578125,False,NonWork,20.0,-7.0,79.0
3.625,False,NonWork,20.0,-7.0,79.0
6.578125,False,NonWork,20.0,-7.0,79.0
3.5625,False,NonWork,20.0,-7.0,79.0
6.578125,False,NonWork,19.0,-7.0,79.0
3.6875,False,NonWork,19.0,-7.0,79.0
6.359375,False,NonWork,19.0,-7.0,79.0
3.53125,False,NonWork,19.0,-7.0,79.0
6.765625,False,NonWork,19.0,-7.0,79.0
3.3125,False,NonWork,19.0,-7.0,79.0
6.578125,False,NonWork,19.0,-7.0,79.0
3.765625,False,NonWork,19.0,-7.0,79.0
6.515625,False,NonWork,18.0,-8.0,79.0
3.5625,False,NonWork,18.0,-8.0,79.0
6.6875,False,NonWork,18.0,-8.0,79.0
3.375,False,NonWork,18.0,-8.0,79.0
6.8125,False,NonWork,18.0,-8.0,73.0
3.703125,False,NonWork,18.0,-8.0,73.0
6.75,False,NonWork,18.0,-8.0,73.0
3.640625,False,NonWork,18.0,-8.0,73.0
6.25,False,NonWork,17.0,-8.0,73.0
3.5625,False,NonWork,17.0,-8.0,73.0
6.578125,False,NonWork,17.0,-8.0,73.0
3.15625,False,NonWork,17.0,-8.0,73.0
4.828125,False,NonWork,17.0,-8.0,67.0
2.8125,False,NonWork,17.0,-8.0,67.0
4.578125,False,NonWork,17.0,-8.0,67.0
2.796875,False,NonWork,17.0,-8.0,67.0
4.609375,True,NonWork,19.0,-7.0,67.0
2.46875,True,NonWork,19.0,-7.0,67.0
4.59375,True,NonWork,19.0,-7.0,67.0
2.59375,True,NonWork,19.0,-7.0,67.0
4.515625,True,NonWork,22.0,-5.0,67.0
2.515625,True,NonWork,22.0,-5.0,67.0
4.015625,True,NonWork,22.0,-5.0,67.0
2.296875,True,NonWork,22.0,-5.0,67.0
4.390625,True,NonWork,26.0,-4.0,68.0
2.203125,True,NonWork,26.0,-4.0,68.0
4.28125,True,NonWork,26.0,-4.0,68.0
2.390625,True,NonWork,26.0,-4.0,68.0
4.015625,True,NonWork,28.0,-2.0,63.0
2.296875,True,NonWork,28.0,-2.0,63.0
4.0625,True,NonWork,28.0,-2.0,63.0
2.0625,True,NonWork,28.0,-2.0,63.0
4.328125,True,NonWork,30.0,-1.0,58.0
2.328125,True,NonWork,30.0,-1.0,58.0
4.078125,True,NonWork,30.0,-1.0,58.0
2.328125,True,NonWork,30.0,-1.0,58.0
4.03125,True,NonWork,31.0,0.0,54.0
2.34375,True,NonWork,31.0,0.0,54.0
4.1875,True,NonWork,31.0,0.0,54.0
2.15625,True,NonWork,31.0,0.0,54.0
4.21875,True,NonWork,31.0,-1.0,53.0
2.59375,True,NonWork,31.0,-1.0,53.0
4.296875,True,NonWork,31.0,-1.0,53.0
2.4375,True,NonWork,31.0,-1.0,53.0
6.375,True,NonWork,30.0,-1.0,49.0
3.328125,True,NonWork,30.0,-1.0,49.0
6.234375,True,NonWork,30.0,-1.0,49.0
3.265625,True,NonWork,30.0,-1.0,49.0
6.53125,True,NonWork,28.0,-2.0,57.0
3.515625,True,NonWork,28.0,-2.0,57.0
6.234375,True,NonWork,28.0,-2.0,57.0
3.484375,True,NonWork,28.0,-2.0,57.0
6.28125,True,NonWork,26.0,-3.0,62.0
3.4375,True,NonWork,26.0,-3.0,62.0
6.421875,True,NonWork,26.0,-3.0,62.0
3.53125,True,NonWork,26.0,-3.0,62.0
6.359375,False,NonWork,25.0,-4.0,67.0
3.546875,False,NonWork,25.0,-4.0,67.0
6.578125,False,NonWork,25.0,-4.0,67.0
3.21875,False,NonWork,25.0,-4.0,67.0
6.765625,False,NonWork,24.0,-5.0,67.0
3.421875,False,NonWork,24.0,-5.0,67.0
6.4375,False,NonWork,24.0,-5.0,67.0
3.703125,False,NonWork,24.0,-5.0,67.0
6.3125,False,NonWork,23.0,-5.0,72.0
3.625,False,NonWork,23.0,-5.0,72.0
6.625,False,NonWork,23.0,-5.0,72.0
3.375,False,NonWork,23.0,-5.0,72.0
6.640625,False,NonWork,23.0,-5.0,72.0
3.4375,False,NonWork,23.0,-5.0,72.0
6.640625,False,NonWork,23.0,-5.0,72.0
3.640625,False,NonWork,23.0,-5.0,72.0
6.5,False,NonWork,22.0,-5.0,72.0
3.90625,False,NonWork,22.0,-5.0,72.0
6.640625,False,NonWork,22.0,-5.0,72.0
3.375,False,NonWork,22.0,-5.0,72.0
6.40625,False,NonWork,21.0,-6.0,72.0
3.75,False,NonWork,21.0,-6.0,72.0
6.53125,False,NonWork,21.0,-6.0,72.0
3.609375,False,NonWork,21.0,-6.0,72.0
6.734375,False,NonWork,21.0,-6.0,72.0
3.3125,False,NonWork,21.0,-6.0,72.0
6.828125,False,NonWork,21.0,-6.0,72.0
3.515625,False,NonWork,21.0,-6.0,72.0
6.515625,False,NonWork,20.0,-7.0,78.0
3.84375,False,NonWork,20.0,-7.0,78.0
